,Address,Area,Beds,Full Baths,Half Baths,Locality,Lot Size,Price,Latitude,Longitude
0,0 Gateway,,,,,"Rock Springs, WY 82901",,"$725,000 ",26.5802115,-81.73879791785933
1,1003 Winchester Blvd.,,4.0,4.0,,"Rock Springs, WY 82901",0.21 Acres,"$452,900 ",40.7287144,-73.737112
2,3239 Spearhead Way,"3,076",4.0,3.0,1.0,"Rock Springs, WY 82901","Under 1/2 Acre, ","$379,900 ",53.8714418,-1.9048926
3,600 Talladega,"3,154",5.0,3.0,,"Rock Springs, WY 82901",,"$379,000 ",33.4359416,-86.1058048
4,3457 Brisol Avenue,"3,236",5.0,3.0,,"Rock Springs, WY 82901",0.34 Acres,"$349,900 ",56.8854669,60.5058093
5,234 Via Spoleto,"2,688",4.0,3.0,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$330,000 ",41.8859818,12.5207867
6,2425 Cripple Creek,"8,263",4.0,35.0,,"Rock Springs, WY 82901",,"$279,900 ",38.7466555,-105.1783149
7,522 Emerald Street,"1,172",3.0,3.0,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$254,000 ",51.5210656,-0.117314
8,1302 Veteran's Drive,"1,932",4.0,2.0,,"Rock Springs, WY 82901",0.27 Acres,"$252,900 ",42.7261356,-71.4455248
9,343 Via Rucce,,3.0,2.0,1.0,"Rock Springs, WY 82901",0.16 Acres,"$219,900 ",41.5905756,-109.2685458
10,913 Madison Dr,"1,344",3.0,2.0,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$209,000 ",53.4287599,-1.0260686
11,0 Gateway,,,,,"Rock Springs, WY 82901",,"$725,000 ",26.5802115,-81.73879791785933
12,0 ,,,,,,,,,
13,0 ,,,,,,,,,
